  33  71   615.1392    0.0042 1  38
  33  72   623.5469    0.0041 1  39
  33  73   634.3412    0.0039 1  40
  33  74   642.3198    0.0018 1  41
  33  75   652.5651    0.0009 1  42
  33  76   659.8936    0.0009 1  43
  33  77   669.5903    0.0018 1  44
  33  78   676.5626    0.0098 1  45
  33  79   685.4531    0.0055 1  46
  33  80   692.0595    0.0157 1  47
  33  81   700.4926    0.0027 1  48
  33  82   706.1336    0.0043 1  49
  33  83   713.7712    0.0028 1  50
  33  84   718.0269    0.0032 1  51
  33  85   723.4337    0.0031 1  52
  33  86   727.2780    0.0034 1  53
  33  87   732.0050    0.0030 1  54
  34  67   560.7588    0.0671 1  33
  34  68   576.4393    0.0005 1  34
  34  69   586.6219    0.0342 1  35
  34  70   600.3223    0.0016 1  36
  34  71   609.6102    0.0028 1  37
  34  72   622.4032    0.0019 1  38
  34  73   630.8336    0.0074 1  39
  34  74   642.8904    0.0003 1  40
  34  75   650.9180    0.0003 1  41
  34  76   662.0721    0.0001 1  42
  34  77   669.4911    0.0001 1  43
  34  78   679.9888    0.0002 1  44
  34  79   686.9516    0.0002 1  45
  34  80   696.8655    0.0014 1  46
  34  81   703.5663    0.0015 1  47
  34  82   712.8423    0.0016 1  48
  34  83   718.6602    0.0034 1  49
  34  84   727.3385    0.0019 1  50
  34  85   731.8758    0.0026 1  51
  34  86   738.0367    0.0025 1  52
  34  87   742.0309    0.0023 1  53
  34  88   747.5604    0.0033 1  54
  34  89   750.7399    0.0037 1  55
  35  70   589.0357    0.0149 1  35
  35  71   602.1838    0.0054 1  36
  35  72   612.8201    0.0067 1  37
  35  73   625.4717    0.0073 1  38
  35  74   635.1804    0.0064 1  39
  35  75   647.0739    0.0043 1  40
  35  76   656.3270    0.0093 1  41
  35  77   667.3439    0.0028 1  42
  35  78   675.6326    0.0036 1  43
  35  79   686.3204    0.0015 1  44
  35  80   694.2126    0.0015 1  45
  35  81   704.3701    0.0013 1  46
  35  82   711.9631    0.0013 1  47
  35  83   721.5436    0.0051 1  48
  35  84   728.3979    0.0300 1  49
  35  85   737.2553    0.0031 1  50
  35  86   742.3834    0.0031 1  51
  35  87   748.7142    0.0031 1  52
  35  88   753.6097    0.0032 1  53
  35  89   759.2394    0.0033 1  54
  35  90   763.0367    0.0033 1  55
  35  91   768.2150    0.0035 1  56
  35  92   771.4119    0.0067 1  57
  36  71   591.2262    0.1288 1  35
  36  72   606.9110    0.0080 1  36
  36  73   617.5934    0.0066 1  37
  36  74   631.4445    0.0021 1  38
  36  75   641.5079    0.0081 1  39
  36  76   654.2699    0.0040 1  40
  36  77   663.4963    0.0019 1  41
  36  78   675.5778    0.0007 1  42
  36  79   683.9122    0.0036 1  43
  36  80   695.4334    0.0008 1  44
  36  81   703.3069    0.0014 1  45
  36  82   714.2739    0.0009 1  46
  36  83   721.7449    0.0003 1  47
  36  84   732.2656    0.0000 1  48
  36  85   739.3779    0.0020 1  49
  36  86   749.2345    0.0000 1  50
  36  87   754.7496    0.0003 1  51
  36  88   761.8027    0.0026 1  52
  36  89   766.7186    0.0021 1  53
  36  90   773.2133    0.0019 1  54
  36  91   777.2993    0.0023 1  55
  36  92   783.1660    0.0027 1  56
  36  93   786.6041    0.0025 1  57
  36  94   791.8871    0.0121 1  58
  36  95   794.7697    0.0186 1  59
  36  96   799.7617    0.0204 1  60
  36  97   802.1768    0.1304 1  61
  37  74   620.2476    0.0036 1  37
  37  75   633.6207    0.0016 1  38
  37  76   644.9514    0.0011 1  39
  37  77   657.3751    0.0013 1  40
  37  78   667.5522    0.0075 1  41
  37  79   679.4902    0.0021 1  42
  37  80   688.9340    0.0018 1  43
  37  81   700.2864    0.0049 1  44
  37  82   709.0890    0.0030 1  45
  37  83   720.0432    0.0023 1  46
  37  84   728.8002    0.0029 1  47
  37  85   739.2825    0.0000 1  48
  37  86   747.9335    0.0002 1  49
  37  87   757.8557    0.0000 1  50
  37  88   763.9381    0.0002 1  51
  37  89   771.1128    0.0054 1  52
  37  90   776.8366    0.0066 1  53
  37  91   783.2896    0.0081 1  54
  37  92   788.3870    0.0062 1  55
  37  93   794.3057    0.0078 1  56
  37  94   798.3190    0.0034 1  57
  37  95   803.7228    0.0202 1  58
  37  96   807.2541    0.0034 1  59
  37  97   812.4891    0.0053 1  60
  37  98   816.0732    0.0501 1  61
